conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,clean_text,label
2003790816544698428,2025-12-24T11:32:13.000Z,232,"#GenshinImpact #Arlecchino #Columbina #Sandrone 
Terima kasih sudah datang malam ini.
Selagi salju di luar masih turun,
aroma manis kue memenuhi ruangan, 
dan gelas anggur di tanganku masih hangat ....
Mari bersulang untuk malam musim dingin ini, untuk saat ini, juga untuk setiap https://t.co/eOECQrtr7N",2003790816544698428,https://pbs.twimg.com/media/G87lIGVWIAArg9e.jpg,,in,,5,2,59,https://x.com/GenshinImpactID/status/2003790816544698428,1605460246645772288,GenshinImpactID,terima kasih sudah datang malam ini selagi salju di luar masih turun aroma manis kue memenuhi ruangan dan gelas anggur di tanganku masih hangat mari bersulang untuk malam musim dingin ini untuk saat ini juga untuk setiap,positif
2004540212714573939,2025-12-26T13:10:03.000Z,2,"babu! gengs yg pernah beli pop mart genshin, itu tuh blind box ya? Jadi kalau mau dapet oshi susah bgt dong yaT-T (aku blm pernah beli yg tipe2 blind box gini&lt;/3)",2004540212714573939,,,in,,0,9,0,https://x.com/babufess/status/2004540212714573939,1373592890916491266,babufess,babu gengs yg pernah beli pop mart genshin itu tuh blind box ya jadi kalau mau dapet oshi susah bgt dong yatt aku blm pernah beli yg tipe blind box ginilt,negatif
2006261553612337476,2025-12-31T07:10:03.000Z,0,"babu! karena hari ini penghujung tahun 2025, apa harapan kalian buat genshin di 2026 🙏",2006261553612337476,,,in,,5,9,0,https://x.com/babufess/status/2006261553612337476,1373592890916491266,babufess,babu karena hari ini penghujung tahun apa harapan kalian buat genshin di,negatif
2004764173155058113,2025-12-27T04:00:00.000Z,1566,"#GenshinImpact 
As Heaven and Earth Are Made Anew

Itu adalah masa lalu yang kini terasa sejauh mimpi yang hampa, dan serapuh cahaya yang berkelip.
Itulah pakaian kesayangan salah satu dari dua rekan yang berangkat menapaki perjalanan bersama ....

https://t.co/LIu8Dg21zl https://t.co/mDWDUET29J",2004764173155058113,https://pbs.twimg.com/media/G9HgozaW4AAnCBD.jpg,,in,,148,33,333,https://x.com/GenshinImpactID/status/2004764173155058113,1605460246645772288,GenshinImpactID,as heaven and earth are made anew itu adalah masa lalu yang kini terasa sejauh mimpi yang hampa dan serapuh cahaya yang berkelip itulah pakaian kesayangan salah satu dari dua rekan yang berangkat menapaki perjalanan bersama,positif
2005636210274812240,2025-12-29T13:45:10.000Z,847,"Babu! CW // LEAKS , LEAK

Karakter ""kesayangan"" genshin nih bos senggol dong, sampai2 punya 4 design 😌 https://t.co/5mivNhXz3Y",2005636210274812240,https://pbs.twimg.com/media/G9VzgOJWkAAejg8.jpg,,in,,59,27,79,https://x.com/babufess/status/2005636210274812240,1373592890916491266,babufess,babu cw leaks leak karakter kesayangan genshin nih bos senggol dong sampai punya design,positif
2006214230660304943,2025-12-31T04:02:00.000Z,931,"#GenshinImpact #GenshinSpecialProgram #GenshinLunaIV 
Preview Acara Khusus Versi ""Candra IV"" | Genshin Impact

Dear Traveler, ada pengumuman baru nih!
Acara Khusus untuk versi baru Genshin Impact akan ditayangkan perdana di Twitch dan YouTube pada 2 Januari 2026 00:00 (UTC-5)! https://t.co/A3NkCxgToS",2006214230660304943,https://pbs.twimg.com/media/G9d1UYfXcAAeOAk.jpg,,in,,108,27,232,https://x.com/GenshinImpactID/status/2006214230660304943,1605460246645772288,GenshinImpactID,preview acara khusus versi candra iv genshin impact dear traveler ada pengumuman baru nih acara khusus untuk versi baru genshin impact akan ditayangkan perdana di twitch dan youtube pada januari utc,positif
2003790816544698428,2025-12-24T11:32:14.000Z,42,"[Penjelasan Perbaikan]
Dear Traveler, saat ini terdapat kesalahan pembuatan pada gambar di postingan dan gambar yang benar sudah dilampirkan.
Mohon maaf yang sebesar-besarnya atas ketidaknyamanan yang dialami Traveler, terima kasih atas pengertian dan dukungan Traveler!",2003790820193841449,,GenshinImpactID,in,,0,1,0,https://x.com/GenshinImpactID/status/2003790820193841449,1605460246645772288,GenshinImpactID,penjelasan perbaikan dear traveler saat ini terdapat kesalahan pembuatan pada gambar di postingan dan gambar yang benar sudah dilampirkan mohon maaf yang sebesarbesarnya atas ketidaknyamanan yang dialami traveler terima kasih atas pengertian dan dukungan traveler,positif
2004518822254887153,2025-12-26T11:45:04.000Z,5,babu! sender udah setahun hiatus genshin. semangatin sender dong buat comeback patch ini huhu 😭 ayo para sales nod-krai muncul 😭,2004518822254887153,,,in,,0,6,1,https://x.com/babufess/status/2004518822254887153,1373592890916491266,babufess,babu sender udah setahun hiatus genshin semangatin sender dong buat comeback patch ini huhu ayo para sales nodkrai muncul,negatif
2006352164793315632,2025-12-31T13:10:06.000Z,21,"babu! Sebutin kelebihan dan kekurangan dari masing-masing endgame content Genshin Impact di bawah ini, serta kasih rate 0-10. https://t.co/Wcdn4zf1e4",2006352164793315632,https://pbs.twimg.com/media/G9f-qTVWEAAtR8M.jpg,,in,,27,17,1,https://x.com/babufess/status/2006352164793315632,1373592890916491266,babufess,babu sebutin kelebihan dan kekurangan dari masingmasing endgame content genshin impact di bawah ini serta kasih rate,positif
2005489506057937201,2025-12-29T04:02:13.000Z,266,"#GenshinImpact #HBD #Tighnari 
Selamat Ulang Tahun, Tighnari!

""Masih nulis juga? Yang lain sudah nunggu di kedai tuh.""
""Sebentar, sudah hampir selesai!"" https://t.co/3S00a4DJPM",2005489506057937201,https://pbs.twimg.com/media/G9TbugkXMAASzSs.jpg,,in,,7,0,81,https://x.com/GenshinImpactID/status/2005489506057937201,1605460246645772288,GenshinImpactID,selamat ulang tahun tighnari masih nulis juga yang lain sudah nunggu di kedai tuh sebentar sudah hampir selesai,negatif
2006347129799704606,2025-12-31T12:50:06.000Z,193,"Babu! cw // crossover hsr

Kalau di hsr ada relic eagle yang OP bisa dipake banyak karakter, kalau di genshin arte apa yang valuenya kaya eagle? https://t.co/ACteHF5eZB",2006347129799704606,https://pbs.twimg.com/media/G9f6FOsXgAAtmED.jpg,,in,,7,25,11,https://x.com/babufess/status/2006347129799704606,1373592890916491266,babufess,babu cw crossover hsr kalau di hsr ada relic eagle yang op bisa dipake banyak karakter kalau di genshin arte apa yang valuenya kaya eagle,positif
2004740249260335488,2025-12-27T03:07:08.000Z,12,"Dear Traveler, permasalahan login telah diperbaiki, game dapat dimainkan dengan normal setelah log in kembali. Terima kasih untuk kesabaran dan dukungan para Traveler, dan kami mohon maaf atas ketidaknyamanan yang ditimbulkan.

Untuk mencegah kemungkinan masalah login akun",2004750868185333787,,GenshinImpactID,in,,0,0,0,https://x.com/GenshinImpactID/status/2004750868185333787,1605460246645772288,GenshinImpactID,dear traveler permasalahan login telah diperbaiki game dapat dimainkan dengan normal setelah log in kembali terima kasih untuk kesabaran dan dukungan para traveler dan kami mohon maaf atas ketidaknyamanan yang ditimbulkan untuk mencegah kemungkinan masalah login akun,positif
2005112744073122252,2025-12-28T03:05:06.000Z,926,"Babu! Imagine, Genshin ngadain fitur skip tapi harus punya Varka https://t.co/rKQpCdsUxa",2005112744073122252,https://pbs.twimg.com/media/G9OXag6WoAEuHh8.jpg,,in,,40,14,69,https://x.com/babufess/status/2005112744073122252,1373592890916491266,babufess,babu imagine genshin ngadain fitur skip tapi harus punya varka,negatif
2006444000048234547,2025-12-31T19:15:02.000Z,28,"babu! new year new device.. amin.. rekomendasikan device dong, rencana nya mau bli antara ipad 11 (256) / mipad 7 pro (512) mending mana ya? harga bedanya ga bgtu jauh dan buat main game lain juga (lds, wwa) yg pasti utama genshin sih hehe.. tia!",2006444000048234547,,,in,,2,10,2,https://x.com/babufess/status/2006444000048234547,1373592890916491266,babufess,babu new year new device amin rekomendasikan device dong rencana nya mau bli antara ipad mipad pro mending mana ya harga bedanya ga bgtu jauh dan buat main game lain juga lds wwa yg pasti utama genshin sih hehe tia,positif
2004113664794579222,2025-12-25T08:55:06.000Z,449,"Babu! Mengingatkan aja buat artist / cosplayer genshin mending mulai dari sekarang post foto pake format gif saja, karena Ai makin meresahkan bisa edit foto orang dari postingan tweet

Bisa jadi bahan fitnah, sekian https://t.co/ER8N3nMaWz",2004113664794579222,https://pbs.twimg.com/media/G9AKwa-XEAAAYss.jpg,,in,,5,8,33,https://x.com/babufess/status/2004113664794579222,1373592890916491266,babufess,babu mengingatkan aja buat artist cosplayer genshin mending mulai dari sekarang post foto pake format gif saja karena ai makin meresahkan bisa edit foto orang dari postingan tweet bisa jadi bahan fitnah sekian,negatif
2005544341658321061,2025-12-29T07:40:06.000Z,1,"Greetings~ katanya jalan di teyvat lebih seru kalau ditemani, hm?
jadi aku mencari kawanbabu, semoga kita cocok ✨

akunku unlab 21+ AR60. suka bahas genshin, game lain &amp; random talk.
terbuka semua akun asalkan bukan minor, homophobic, zionis, 02v yaa.

Thank you darl~🤍 https://t.co/xcn7XRZrKv",2005544341658321061,https://pbs.twimg.com/media/G9Uf804WYAA1VnH.jpg,,in,,0,29,0,https://x.com/babufess/status/2005544341658321061,1373592890916491266,babufess,greetings katanya jalan di teyvat lebih seru kalau ditemani hm jadi aku mencari kawanbabu semoga kita cocok akunku unlab ar suka bahas genshin game lain amp random talk terbuka semua akun asalkan bukan minor homophobic zionis v yaa thank you darl,positif
2006262832233386251,2025-12-31T07:15:08.000Z,0,tehe! apa wishlist kalian di genshin buat tahun 2026,2006262832233386251,,,in,,3,9,1,https://x.com/paimonfess/status/2006262832233386251,1318848121498075136,paimonfess,tehe apa wishlist kalian di genshin buat tahun,negatif
