"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"2003790816544698428","2025-12-24T11:32:13.000Z","232","#GenshinImpact #Arlecchino #Columbina #Sandrone 
Terima kasih sudah datang malam ini.
Selagi salju di luar masih turun,
aroma manis kue memenuhi ruangan, 
dan gelas anggur di tanganku masih hangat ....
Mari bersulang untuk malam musim dingin ini, untuk saat ini, juga untuk setiap https://t.co/eOECQrtr7N","2003790816544698428","https://pbs.twimg.com/media/G87lIGVWIAArg9e.jpg","","in","","5","2","59","https://x.com/GenshinImpactID/status/2003790816544698428","1605460246645772288","GenshinImpactID"
"2004540212714573939","2025-12-26T13:10:03.000Z","2","babu! gengs yg pernah beli pop mart genshin, itu tuh blind box ya? Jadi kalau mau dapet oshi susah bgt dong yaT-T (aku blm pernah beli yg tipe2 blind box gini&lt;/3)","2004540212714573939","","","in","","0","9","0","https://x.com/babufess/status/2004540212714573939","1373592890916491266","babufess"
"2006261553612337476","2025-12-31T07:10:03.000Z","0","babu! karena hari ini penghujung tahun 2025, apa harapan kalian buat genshin di 2026 🙏","2006261553612337476","","","in","","5","9","0","https://x.com/babufess/status/2006261553612337476","1373592890916491266","babufess"
"2004764173155058113","2025-12-27T04:00:00.000Z","1566","#GenshinImpact 
As Heaven and Earth Are Made Anew

Itu adalah masa lalu yang kini terasa sejauh mimpi yang hampa, dan serapuh cahaya yang berkelip.
Itulah pakaian kesayangan salah satu dari dua rekan yang berangkat menapaki perjalanan bersama ....

https://t.co/LIu8Dg21zl https://t.co/mDWDUET29J","2004764173155058113","https://pbs.twimg.com/media/G9HgozaW4AAnCBD.jpg","","in","","148","33","333","https://x.com/GenshinImpactID/status/2004764173155058113","1605460246645772288","GenshinImpactID"
"2005636210274812240","2025-12-29T13:45:10.000Z","847","Babu! CW // LEAKS , LEAK

Karakter ""kesayangan"" genshin nih bos senggol dong, sampai2 punya 4 design 😌 https://t.co/5mivNhXz3Y","2005636210274812240","https://pbs.twimg.com/media/G9VzgOJWkAAejg8.jpg","","in","","59","27","79","https://x.com/babufess/status/2005636210274812240","1373592890916491266","babufess"
"2006214230660304943","2025-12-31T04:02:00.000Z","931","#GenshinImpact #GenshinSpecialProgram #GenshinLunaIV 
Preview Acara Khusus Versi ""Candra IV"" | Genshin Impact

Dear Traveler, ada pengumuman baru nih!
Acara Khusus untuk versi baru Genshin Impact akan ditayangkan perdana di Twitch dan YouTube pada 2 Januari 2026 00:00 (UTC-5)! https://t.co/A3NkCxgToS","2006214230660304943","https://pbs.twimg.com/media/G9d1UYfXcAAeOAk.jpg","","in","","108","27","232","https://x.com/GenshinImpactID/status/2006214230660304943","1605460246645772288","GenshinImpactID"
"2003790816544698428","2025-12-24T11:32:14.000Z","42","[Penjelasan Perbaikan]
Dear Traveler, saat ini terdapat kesalahan pembuatan pada gambar di postingan dan gambar yang benar sudah dilampirkan.
Mohon maaf yang sebesar-besarnya atas ketidaknyamanan yang dialami Traveler, terima kasih atas pengertian dan dukungan Traveler!","2003790820193841449","","GenshinImpactID","in","","0","1","0","https://x.com/GenshinImpactID/status/2003790820193841449","1605460246645772288","GenshinImpactID"
"2004518822254887153","2025-12-26T11:45:04.000Z","5","babu! sender udah setahun hiatus genshin. semangatin sender dong buat comeback patch ini huhu 😭 ayo para sales nod-krai muncul 😭","2004518822254887153","","","in","","0","6","1","https://x.com/babufess/status/2004518822254887153","1373592890916491266","babufess"
"2006352164793315632","2025-12-31T13:10:06.000Z","21","babu! Sebutin kelebihan dan kekurangan dari masing-masing endgame content Genshin Impact di bawah ini, serta kasih rate 0-10. https://t.co/Wcdn4zf1e4","2006352164793315632","https://pbs.twimg.com/media/G9f-qTVWEAAtR8M.jpg","","in","","27","17","1","https://x.com/babufess/status/2006352164793315632","1373592890916491266","babufess"
"2005489506057937201","2025-12-29T04:02:13.000Z","266","#GenshinImpact #HBD #Tighnari 
Selamat Ulang Tahun, Tighnari!

""Masih nulis juga? Yang lain sudah nunggu di kedai tuh.""
""Sebentar, sudah hampir selesai!"" https://t.co/3S00a4DJPM","2005489506057937201","https://pbs.twimg.com/media/G9TbugkXMAASzSs.jpg","","in","","7","0","81","https://x.com/GenshinImpactID/status/2005489506057937201","1605460246645772288","GenshinImpactID"
